three.percent,WHO,UNESCO
"Afghanistan","Afghanistan","Afghanistan"
"Albania","Albania","Albania"
"Algeria","Algeria","Algeria"
"Angola","Angola","Angola"
"Argentina","Argentina","Argentina"
"Australia","Australia","Australia"
"Austria","Austria","Austria"
"Belarus","Belarus","Belarus"
"Belgium","Belgium","Belgium"
"Bolivia","Bolivia (Plurinational State of)","Bolivia (Plurinational State of)"
"Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina"
"Brazil","Brazil","Brazil"
"Bulgaria","Bulgaria","Bulgaria"
"Cameroon","Cameroon","Cameroon"
"Chile","Chile","Chile"
"China","China","China"
"Colombia","Colombia","Colombia"
"Congo","Congo","Congo"
"Costa Rica","Costa Rica","Costa Rica"
"Croatia","Croatia","Croatia"
"Cuba","Cuba","Cuba"
"Czech Republic","Czech Republic","Czech Republic"
"Denmark","Denmark","Denmark"
"Djibouti","Djibouti","Djibouti"
"Dominican Republic","Dominican Republic","Dominican Republic"
"Ecuador","Ecuador","Ecuador"
"Egypt","Egypt","Egypt"
"El Salvador","El Salvador","El Salvador"
"Estonia","Estonia","Estonia"
"Faroe Islands",NA,NA
"Finland","Finland","Finland"
"France","France","France"
"Georgia","Georgia","Georgia"
"Germany","Germany","Germany"
"Greece","Greece","Greece"
"Guatemala","Guatemala","Guatemala"
"Guinea","Guinea","Guinea"
"Haiti","Haiti","Haiti"
"Honduras","Honduras","Honduras"
"Hungary","Hungary","Hungary"
"Iceland","Iceland","Iceland"
"India","India","India"
"Iran"," Islamic Republic of","Iran (Islamic Republic of)","Iran (Islamic Republic of)"
"Iraq","Iraq","Iraq"
"Israel","Israel","Israel"
"Italy","Italy","Italy"
"Japan","Japan","Japan"
"Jordan","Jordan","Jordan"
"Kyrgyzstan","Kyrgyzstan","Kyrgyzstan"
"Lebanon","Lebanon","Lebanon"
"Libya","Libya","Libya"
"Libyan Arab Jamahiriya","Libya","Libya"
"Lithuania","Lithuania","Lithuania"
"Macedonia","The former Yugoslav Republic of Macedonia","The former Yugoslav Republic of Macedonia"
"Martinique",NA,NA
"Mauritius","Mauritius","Mauritius"
"Mexico","Mexico","Mexico"
"Mongolia","Mongolia","Mongolia"
"Morocco","Morocco","Morocco"
"Mozambique","Mozambique","Mozambique"
"Myanmar (Burma)","Myanmar","Myanmar"
"Netherlands","Netherlands","Netherlands"
"Nicaragua","Nicaragua","Nicaragua"
"Niger","Niger","Niger"
"Norway","Norway","Norway"
"Pakistan","Pakistan","Pakistan"
"Palestinian Territory, Occupied",NA,NA
"Peru","Peru","Peru"
"Poland","Poland","Poland"
"Portugal","Portugal","Portugal"
"Puerto Rico",NA,
"Quebec",NA,NA
"Romania","Romania","Romania"
"Russia","Russian Federation","Russian Federation"
"Rwanda","Rwanda","Rwanda"
"Saint Martin",NA,NA
"Saudi Arabia","Saudi Arabia","Saudi Arabia"
"Serbia and Montenegro","Serbia","Serbia"
"Singapore","Singapore","Singapore"
"Slovenia","Slovenia","Slovenia"
"South Africa","South Africa","South Africa"
"South Korea","Republic of Korea","Republic of Korea"
"Spain","Spain","Spain"
"Sweden","Sweden","Sweden"
"Switzerland","Switzerland","Switzerland"
"Syrian Arab Republic","Syrian Arab Republic","Syrian Arab Republic"
"Taiwan",NA,NA
"Tunisia","Tunisia","Tunisia"
"Turkey","Turkey","Turkey"
"Ukraine","Ukraine","Ukraine"
"United Arab Emirates","United Arab Emirates","United Arab Emirates"
"United States (USA)","United States of America","United States of America"
"Uruguay","Uruguay","Uruguay"
"Various",NA,NA
"Venezuela","Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)"
"Viet Nam (Vietnam)","Viet Nam","Viet Nam"
"Wales",NA,NA
"Yemen","Yemen","Yemen"
